Mix Drink`s,,
ВСЕ ЗА 149р,,
Коньяк-кола 200 мл,,
Водка-кола 200 мл,,
Виски-кола 200 мл,,
Джин-тоник 200 мл,,
Куба либре 200 мл,,
Red bull mix,,
Водка – red bull 100/200 мл,,190р
Виски-red bull 100/200 мл,,200р
Jagger – red bull 100/200 мл,,245р
