Вермуты,,
Martini BIANCO,50/1000мл,99/1600
Martini ROSSO,50/1000мл,99/1600
Martini DRY,50/1000мл,99/1600
Игристые вина,,
Lambrusco (белое/красное п/сл),750мл,800р
Santo Stefano,750мл,600р
Вина по бокалам,,
Шевалье Дю Валь (белое п/сл/красное п/сл),150мл/750мл,150/750р
Красные вина,,
Cavantina Chianti,750мл,1100р
Chateau Garriga Bordeaux AOC,750мл,1500р
Белые вина,,
Cavantina Pinot Grigio Igt,750мл,1200р
Chateau Garriga Bordeaux AOC,750мл,1400р
Коньяк/бренди,,
Арарат Ани 6 лет,50/500мл,300/3000
Арарат 5*,50/500мл,250/2500
Арарат 3*,50/500мл,180/1800
Старейшина 3*,50/500мл,120/1200р
Старейшина 5*,50/500мл,140/1400р
Старейшина 7*,50/500мл,180/1800
Ром Bacardi,,
Bacardi Carta Blanca,50/500мл,180/1800р
Bacardi Carta Negra,50/500мл,200/2000
Bacardi OakHeart,50/500мл,180/1800
Виски,,
William Lawson`s,50/700мл,170/2000р
Односолодовый Виски,,
The Glenlivet 12 years Old,50/700мл,400/5600р
