Мясное плато,"салями, ветчина, буженина, говяжий язык, оливки, зелень",430
Рыбное плато,"лосось с/с, балык, горбуша х/к, сельдь атлантическая, маслины, зелень",500
Овощное плато,"свежие помидоры, огурцы, перец болгарский, лист салата с оливковым маслом",240
Фруктовое плато,"яблоко, груша, апельсин, банан, виноград",250
Ассорти под водку,"сельдь с/с, лук маринованный, опята, огурцы, отварной картофель, гренки чесночные, горчица",430
Сырное плато,"Маасдам, Дорблю, Фета, Пармезан, мёд, грецкий орех, виноград",540
Хлебная корзина,"белый хлеб, черный хлеб",50
