Пивной набор 1,"кольца кальмара, сырные шарики, луковые кольца, картофель фри, картофель по-деревенски, картофельные шарики, соус на выбор",440
Пивной набор 2,"крылышки BBQ, колбаски, сырные шарики, гренки с сыром, кольца кальмара, соус на выбор",590
Кольца кальмара,,240
Сырные шарики,,230
Чесночные гренки,,130
Крылышки BBQ,,180
